batch_id,event_id,event_class,station,audited_positive_channels,usable_channels,questionable_channels,rejected_channels,request_integrity_status
3,levent-01837,deep_moonquake_assigned,S15,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
3,levent-01841,deep_moonquake_assigned,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-01925,natural_impact,S15,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
3,levent-01926,natural_impact,S15,MH2;MHZ;SHZ,MH2;MHZ;SHZ,,,usable_integrity
3,levent-01962,deep_moonquake_assigned,S15,MH2;MHZ,MH2;MHZ,,,usable_integrity
3,levent-01969,deep_moonquake_assigned,S15,MH2;MHZ,MH2;MHZ,,,usable_integrity
3,levent-01981,deep_moonquake_assigned,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-01986,natural_impact,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-01995,deep_moonquake_assigned,S15,MH2,MH2,,,usable_integrity
3,levent-02005,natural_impact,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-02008,natural_impact,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-02074,deep_moonquake_assigned,S15,SHZ,SHZ,,,usable_integrity
3,levent-02134,natural_impact,S15,SHZ,SHZ,,,usable_integrity
3,levent-02138,natural_impact,S15,SHZ,SHZ,,,usable_integrity
3,levent-02144,natural_impact,S15,SHZ,SHZ,,,usable_integrity
3,levent-02200,natural_impact,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-02220,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02228,natural_impact,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-02281,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02308,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02331,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02340,deep_moonquake_assigned,S15,SHZ,SHZ,,,usable_integrity
3,levent-02359,natural_impact,S15,MH1;MH2;SHZ,MH1;MH2;SHZ,,,usable_integrity
3,levent-02394,natural_impact,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-02398,natural_impact,S15,MH2,MH2,,,usable_integrity
3,levent-02436,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02452,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02462,natural_impact,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-02488,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02506,deep_moonquake_assigned,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-02512,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02577,natural_impact,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-02609,deep_moonquake_assigned,S15,MH2,MH2,,,usable_integrity
3,levent-02622,natural_impact,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-02624,natural_impact,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-02628,natural_impact,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-02666,natural_impact,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-02676,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02702,deep_moonquake_assigned,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-02703,natural_impact,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-02708,natural_impact,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-02807,natural_impact,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02840,natural_impact,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02845,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02880,natural_impact,S15,MH1;MH2;MHZ;SHZ,MH1;MH2;MHZ;SHZ,,,usable_integrity
3,levent-02896,natural_impact,S15,MH1;MH2;SHZ,MH1;MH2;SHZ,,,usable_integrity
3,levent-02928,deep_moonquake_assigned,S15,MH1;MH2;SHZ,MH1;MH2;SHZ,,,usable_integrity
3,levent-02945,deep_moonquake_assigned,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-02983,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-02991,deep_moonquake_assigned,S15,MH2,MH2,,,usable_integrity
3,levent-02999,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03014,natural_impact,S15,MH1;MH2;SHZ,MH1;MH2;SHZ,,,usable_integrity
3,levent-03046,deep_moonquake_assigned,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-03149,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03174,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03190,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03257,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03257,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03299,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03305,deep_moonquake_assigned,S15,MH1;MH2;SHZ,,,MH1;MH2;SHZ,reject_integrity
3,levent-03305,deep_moonquake_assigned,S16,MH1;MH2;SHZ,MH1;MH2;SHZ,,,usable_integrity
3,levent-03307,natural_impact,S15,MH1;MH2;MHZ;SHZ,,,MH1;MH2;MHZ;SHZ,reject_integrity
3,levent-03311,natural_impact,S15,MH1;MH2;MHZ,,,MH1;MH2;MHZ,reject_integrity
3,levent-03311,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-03370,deep_moonquake_assigned,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-03370,deep_moonquake_assigned,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-03396,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03396,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03404,deep_moonquake_assigned,S15,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03404,deep_moonquake_assigned,S16,MH1;MH2,MH1;MH2,,,usable_integrity
3,levent-03416,natural_impact,S15,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
3,levent-03416,natural_impact,S16,MH1;MH2;MHZ,MH1;MH2;MHZ,,,usable_integrity
