station,year,doy,block_id,day_in_block,selection_seed,prior_station_day_overlap,att_and_primary_mh_available,selected_primary_channel,selected_bytes,att_sample_rate_hz,waveform_sample_rate_hz,att_trace_start,att_trace_end,waveform_trace_start,waveform_trace_end,att_gap_fraction,att_longest_gap_seconds,waveform_gap_fraction,waveform_longest_gap_seconds,day_integrity_status,candidate_scan_window_count,passing_scan_window_count,scannable_union_seconds
S12,1975,354,S12_B2,3,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1975-12-20T00:00:00.027000Z,1975-12-21T00:00:00.630774Z,1975-12-20T00:00:00.140000Z,1975-12-21T00:00:01.196604Z,1.397604505876927e-05,0.6037735849056604,1.5723050691115427e-05,0.6037735849056604,usable_integrity,1431,1431,86400
S12,1975,355,S12_B2,4,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1517593,1.65625,6.625,1975-12-21T00:00:00.218000Z,1975-12-21T23:46:26.934981Z,1975-12-21T00:00:00.331000Z,1975-12-21T23:46:27.500811Z,0.0026242645710173964,178.71698113207546,0.002634846282997305,178.8679245283019,usable_integrity,1431,1410,85680
S12,1975,356,S12_B2,5,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1525785,1.65625,6.625,1975-12-22T00:05:41.493736Z,1975-12-23T00:00:00.965434Z,1975-12-22T00:05:41.606736Z,1975-12-23T00:00:01.531264Z,0.030195668493093023,1817.3584905660377,0.030225485312585502,1817.3584905660377,usable_integrity,1431,1364,84480
S12,1975,357,S12_B2,6,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1975-12-23T00:00:00.480000Z,1975-12-24T00:00:01.083774Z,1975-12-23T00:00:00.593000Z,1975-12-24T00:00:01.649604Z,0.0020614666461684673,41.660377358490564,0.002112129809506506,41.660377358490564,usable_integrity,1431,1431,86400
S12,1975,358,S12_B2,7,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1975-12-24T00:00:00.389000Z,1975-12-25T00:00:01.596547Z,1975-12-24T00:00:00.502000Z,1975-12-25T00:00:02.162377Z,0.0004192784218360202,15.09433962264151,0.0004192784218360202,15.09433962264151,usable_integrity,1431,1431,86400
S12,1975,359,S12_B2,8,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1975-12-25T00:00:00.453000Z,1975-12-26T00:00:02.264321Z,1975-12-25T00:00:00.566000Z,1975-12-26T00:00:02.830151Z,0.0036616726296958856,230.03773584905662,0.0036721545169946333,230.03773584905662,usable_integrity,1431,1421,86340
S12,1975,360,S12_B2,9,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1975-12-26T00:00:00.442000Z,1975-12-27T00:00:02.857094Z,1975-12-26T00:00:00.555000Z,1975-12-27T00:00:03.422925Z,0.021599524824429613,954.566037735849,0.02163970511163132,954.566037735849,usable_integrity,1431,1382,84600
S12,1975,361,S12_B2,10,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1533977,1.65625,6.625,1975-12-27T00:00:00.571000Z,1975-12-28T00:00:02.986094Z,1975-12-27T00:00:00.684000Z,1975-12-28T00:00:03.551925Z,0.023318542329059083,97.20754716981132,0.023437336221655426,97.20754716981132,usable_integrity,1431,1354,82320
S12,1975,362,S12_B2,11,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1975-12-28T00:00:00.374000Z,1975-12-29T00:00:02.789094Z,1975-12-28T00:00:00.487000Z,1975-12-29T00:00:03.354925Z,0.004528143670731281,388.22641509433964,0.0045508542678452885,388.22641509433964,usable_integrity,1431,1419,86220
S12,1975,363,S12_B2,12,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1975-12-29T00:00:00.326000Z,1975-12-30T00:00:02.741094Z,1975-12-29T00:00:00.439000Z,1975-12-30T00:00:03.306925Z,0.002830089794207051,98.41509433962264,0.002868523112399986,98.41509433962264,usable_integrity,1431,1431,86400
S12,1975,364,S12_B2,13,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1975-12-30T00:00:00.343000Z,1975-12-31T00:00:02.758094Z,1975-12-30T00:00:00.456000Z,1975-12-31T00:00:03.323925Z,0.0065755913490094684,544.6037735849056,0.006619265574228713,544.6037735849056,usable_integrity,1431,1416,86040
S12,1975,365,S12_B2,14,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1975-12-31T00:00:00.378000Z,1976-01-01T00:00:02.793094Z,1975-12-31T00:00:00.491000Z,1976-01-01T00:00:03.358925Z,0.001467453967366619,83.32075471698113,0.0014884175954718564,83.32075471698113,usable_integrity,1431,1431,86400
S14,1971,219,S14_B1,1,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1971-08-07T00:00:00.456000Z,1971-08-08T00:00:05.286189Z,1971-08-07T00:00:00.569000Z,1971-08-08T00:00:05.852019Z,0.0009293615356127147,15.69811320754717,0.0009398430566910536,15.69811320754717,usable_integrity,1431,1431,86400
S14,1971,220,S14_B1,2,lunaseis-contiguous-evaluation-v0.2,0,1,MHZ,1529881,1.65625,6.625,1971-08-08T00:00:00.578000Z,1971-08-09T00:00:04.804415Z,1971-08-08T00:00:00.691000Z,1971-08-09T00:00:05.370245Z,0.011606618777426839,518.0377358490566,0.011610112642200297,518.0377358490566,usable_integrity,1431,1398,86040
