batch_id,event_id,event_class,station,channel,reference_time,nearest_att_minus_reference_seconds,nominal_minus_reference_seconds,att_minus_nominal_seconds,sample_rate_hz,sample_count,gap_sample_count,gap_fraction,gap_run_count,longest_gap_samples,longest_gap_seconds,raw_min,raw_max,edge_value_fraction_descriptive,pre_reference_rms,post_reference_rms,post_to_pre_rms_ratio,integrity_status
3,levent-01837,deep_moonquake_assigned,S15,MH2,1971-09-26T02:09:00,-0.249,-0.233189,-0.015811,6.625,3975,0,0.0,0,0,0.0,498.0,505.0,0.007547169811320755,0.6776536737232183,1.0853512893914339,1.601631233588997,usable_integrity
3,levent-01837,deep_moonquake_assigned,S15,MHZ,1971-09-26T02:09:00,-0.249,-0.233189,-0.015811,6.625,3975,0,0.0,0,0,0.0,491.0,497.0,0.005031446540880503,0.9098321614086494,0.9672303713154217,1.0630865915070593,usable_integrity
3,levent-01837,deep_moonquake_assigned,S15,SHZ,1971-09-26T02:09:00,-0.249,-0.233189,-0.015811,53.0,31800,3975,0.125,3975,1,0.018867924528301886,509.0,515.0,0.0011859838274932615,0.6592026996810368,0.6893490816228247,1.0457315814337147,usable_integrity
3,levent-01841,deep_moonquake_assigned,S15,MH1,1971-09-26T07:18:00,-0.254,-0.157717,-0.096283,6.625,3975,0,0.0,0,0,0.0,502.0,507.0,0.0007547169811320754,0.6990620736425556,0.819188123931211,1.1718388893030953,usable_integrity
3,levent-01841,deep_moonquake_assigned,S15,MH2,1971-09-26T07:18:00,-0.254,-0.157717,-0.096283,6.625,3975,0,0.0,0,0,0.0,497.0,505.0,0.0010062893081761006,0.6480274508377519,0.9057815694593963,1.3977518518519962,usable_integrity
3,levent-01841,deep_moonquake_assigned,S15,MHZ,1971-09-26T07:18:00,-0.254,-0.157717,-0.096283,6.625,3975,0,0.0,0,0,0.0,491.0,496.0,0.02691823899371069,0.9048376195897103,0.8476753264779486,0.9368259101144785,usable_integrity
3,levent-01841,deep_moonquake_assigned,S15,SHZ,1971-09-26T07:18:00,-0.254,-0.157717,-0.096283,53.0,31800,3975,0.125,3975,1,0.018867924528301886,505.0,518.0,0.00017969451931716083,1.12310991874517,1.1034944087546346,0.9825346480668147,usable_integrity
3,levent-01925,natural_impact,S15,MH2,1971-10-06T10:46:00,0.174,2.263377,-2.089377,6.625,3975,0,0.0,0,0,0.0,511.0,523.0,0.0007547169811320754,0.45325276222573296,1.3240636895890054,2.9212479215506324,usable_integrity
3,levent-01925,natural_impact,S15,MHZ,1971-10-06T10:46:00,0.174,2.263377,-2.089377,6.625,3975,0,0.0,0,0,0.0,424.0,429.0,0.01610062893081761,0.6526728683741821,0.7774332869920546,1.1911530640589558,usable_integrity
3,levent-01925,natural_impact,S15,SHZ,1971-10-06T10:46:00,0.174,2.263377,-2.089377,53.0,31800,3975,0.125,3975,1,0.018867924528301886,527.0,545.0,0.00017969451931716083,1.1020791220240076,1.479266713268681,1.3422509180211626,usable_integrity
3,levent-01926,natural_impact,S15,MH2,1971-10-06T17:15:00,0.176,3.546396,-3.370396,6.625,3975,0,0.0,0,0,0.0,511.0,526.0,0.0025157232704402514,0.313348545837136,1.6701222039421633,5.329918476182159,usable_integrity
3,levent-01926,natural_impact,S15,MHZ,1971-10-06T17:15:00,0.176,3.546396,-3.370396,6.625,3975,0,0.0,0,0,0.0,422.0,431.0,0.0007547169811320754,0.552391121997477,0.8775681091308651,1.588671638960326,usable_integrity
3,levent-01926,natural_impact,S15,SHZ,1971-10-06T17:15:00,0.176,3.546396,-3.370396,53.0,31800,3975,0.125,3975,1,0.018867924528301886,465.0,933.0,0.00010781671159029649,0.8356412581190955,9.978951342759819,11.941669042551775,usable_integrity
3,levent-01962,deep_moonquake_assigned,S15,MH2,1971-10-15T06:28:00,0.183,0.287113,-0.104113,6.625,3975,0,0.0,0,0,0.0,499.0,503.0,0.019622641509433963,0.43104594213332675,0.7422556138059281,1.721987243708563,usable_integrity
