event_id,event_class,reference_time,station,positive_channels,required_station_days,crosses_day_boundary,complete_positive_channels,missing_positive_channels,station_request_usable
levent-09127,deep_moonquake_assigned,1975-03-26T22:27:00,S15,MH1;MH2;MHZ,1975-085,0,MH1;MH2;MHZ,,1
levent-09127,deep_moonquake_assigned,1975-03-26T22:27:00,S16,MH1;MH2;MHZ,1975-085,0,MH1;MH2;MHZ,,1
levent-09129,deep_moonquake_assigned,1975-03-27T13:11:00,S14,MH2,1975-086,0,MH2,,1
levent-09129,deep_moonquake_assigned,1975-03-27T13:11:00,S15,MH1;MH2;MHZ,1975-086,0,MH1;MH2;MHZ,,1
levent-09129,deep_moonquake_assigned,1975-03-27T13:11:00,S16,MH1;MH2,1975-086,0,MH1;MH2,,1
levent-09130,deep_moonquake_assigned,1975-03-27T18:48:00,S12,MH1;MH2;MHZ,1975-086,0,,MH1;MH2;MHZ,0
levent-09130,deep_moonquake_assigned,1975-03-27T18:48:00,S14,MH1;MH2;SHZ,1975-086,0,MH1;MH2;SHZ,,1
levent-09130,deep_moonquake_assigned,1975-03-27T18:48:00,S15,MH1;MH2,1975-086,0,MH1;MH2,,1
levent-09130,deep_moonquake_assigned,1975-03-27T18:48:00,S16,MH1;MH2;MHZ,1975-086,0,MH1;MH2;MHZ,,1
levent-09135,natural_impact,1975-03-29T17:00:00,S14,MH1;MH2;SHZ,1975-088,0,MH1;MH2;SHZ,,1
levent-09138,natural_impact,1975-03-31T20:42:00,S12,MH1;MH2;MHZ,1975-090,0,,MH1;MH2;MHZ,0
levent-09138,natural_impact,1975-03-31T20:42:00,S14,MH1;MH2,1975-090,0,MH1;MH2,,1
levent-09138,natural_impact,1975-03-31T20:42:00,S15,MH1;MH2,1975-090,0,MH1;MH2,,1
levent-09145,natural_impact,1975-04-04T02:05:00,S16,MH1;MH2;MHZ;SHZ,1975-094,0,MH1;MH2;MHZ;SHZ,,1
levent-09148,natural_impact,1975-04-06T06:47:00,S12,MH1;MH2;MHZ,1975-096,0,,MH1;MH2;MHZ,0
levent-09148,natural_impact,1975-04-06T06:47:00,S14,MH1;MH2;SHZ,1975-096,0,MH1;MH2;SHZ,,1
levent-09148,natural_impact,1975-04-06T06:47:00,S15,MH1;MH2;MHZ,1975-096,0,MH1;MH2;MHZ,,1
levent-09148,natural_impact,1975-04-06T06:47:00,S16,MH1;MH2;MHZ;SHZ,1975-096,0,MH1;MH2;MHZ;SHZ,,1
levent-09152,deep_moonquake_assigned,1975-04-07T22:38:00,S14,MH2,1975-097,0,MH2,,1
levent-09152,deep_moonquake_assigned,1975-04-07T22:38:00,S16,MH1;MH2;MHZ,1975-097,0,MH1;MH2;MHZ,,1
levent-09154,natural_impact,1975-04-09T04:16:00,S12,MH1;MH2;MHZ,1975-099,0,MH1;MH2;MHZ,,1
levent-09154,natural_impact,1975-04-09T04:16:00,S14,MH1;MH2;SHZ,1975-099,0,MH1;MH2;SHZ,,1
levent-09154,natural_impact,1975-04-09T04:16:00,S15,MH1;MH2;MHZ,1975-099,0,MH1;MH2;MHZ,,1
levent-09154,natural_impact,1975-04-09T04:16:00,S16,MH1;MH2;MHZ;SHZ,1975-099,0,MH1;MH2;MHZ;SHZ,,1
levent-09156,deep_moonquake_assigned,1975-04-10T16:03:00,S14,MH2,1975-100,0,MH2,,1
levent-09156,deep_moonquake_assigned,1975-04-10T16:03:00,S15,MH2,1975-100,0,MH2,,1
levent-09156,deep_moonquake_assigned,1975-04-10T16:03:00,S16,MH1;MH2;MHZ,1975-100,0,MH1;MH2;MHZ,,1
levent-09166,natural_impact,1975-04-12T02:00:00,S16,MH1;MH2;MHZ;SHZ,1975-102,0,MH1;MH2;MHZ;SHZ,,1
levent-09169,natural_impact,1975-04-12T09:36:00,S14,SHZ,1975-102,0,SHZ,,1
levent-09169,natural_impact,1975-04-12T09:36:00,S15,MH1;MH2;MHZ;SHZ,1975-102,0,MH1;MH2;MHZ;SHZ,,1
levent-09172,natural_impact,1975-04-12T18:15:00,S12,MH1;MH2;MHZ,1975-102,0,MH1;MH2;MHZ,,1
levent-09172,natural_impact,1975-04-12T18:15:00,S14,MH2;SHZ,1975-102,0,MH2;SHZ,,1
