station,block_id,catalog_source,source_event_id,reference_time,unified_candidate_id,event_class,evaluation_group,existing_fold_roles,prior_pilot_fold_exposed,prospective_event_recall_eligibility,nearest_att_minus_reference_seconds,nominal_minus_reference_seconds,waveform_sample_rate_hz,waveform_gap_fraction,waveform_longest_gap_seconds,att_window_gap_fraction,pre_reference_rms,post_reference_rms,post_to_pre_rms_ratio,signal_support_descriptive,event_window_integrity_status
S12,S12_B2,PDS-levent,levent-10063,1976-02-05T19:12:00,levent-10063,natural_impact,event:levent-10063,,0,eligible_pending_waveform_QA,78.714,81.663434,6.625,0.7859119496855346,351.39622641509436,0.7847082494969819,,1.3329415797378836,,not_quantifiable,reject_integrity
S12,S12_B2,PDS-levent,levent-10076,1976-02-08T04:50:00,levent-10076,natural_impact,event:levent-10076,,0,eligible_pending_waveform_QA,-0.013,0.728943,6.625,0.0,0.0,0.0,2.2289634240200837,1.8677164613169244,0.8379305111917779,no_clear_ratio,usable_integrity
S16,S16_B1,PDS-levent,levent-10091,1976-02-16T06:02:00,levent-10091,natural_impact,event:levent-10091,,0,eligible_pending_waveform_QA,0.156,1.255717,6.625,0.0,0.0,0.0,0.5067519936631439,0.585463317038296,1.1553251380545615,no_clear_ratio,usable_integrity
S16,S16_B1,PDS-levent,levent-10093,1976-02-16T06:50:00,levent-10093,deep_moonquake_assigned,deep-family:A441,,0,eligible_pending_waveform_QA,0.01,1.255717,6.625,0.0,0.0,0.0,0.5591858561804527,0.7124234483867868,1.274036960185351,weak_ratio,usable_integrity
S16,S16_B1,PDS-levent,levent-10096,1976-02-16T12:51:00,levent-10096,deep_moonquake_assigned,deep-family:A250,,0,eligible_pending_waveform_QA,-0.11,2.236849,6.625,0.0,0.0,0.0,0.7435523455913787,0.8137961359845574,1.0944705383685,no_clear_ratio,usable_integrity
S16,S16_B2,PDS-levent,levent-11299,1976-11-02T20:40:00,levent-11299,natural_impact,event:levent-11299,,0,eligible_pending_waveform_QA,0.1,4.109642,6.625,0.0,0.0,0.0,9.105292110134421,10.44252011801243,1.1468627246334733,no_clear_ratio,usable_integrity
S16,S16_B2,PDS-levent,levent-11305,1976-11-03T06:27:00,levent-11305,natural_impact,event:levent-11305,,0,eligible_pending_waveform_QA,-0.043,1.185075,6.625,0.0,0.0,0.0,8.369669020732918,7.610713236934024,0.909320693336995,no_clear_ratio,usable_integrity
